id,videoId,author,text,date,likeCount
Ugwiz-Yt4-rK3Slj76t4AaABAg,aPar3BMd45Q,@laneslider5171,Should I buy three months for 10.99 Apple Music or Spotify premium I can’t decide.??,2025-06-20T00:27:28Z,0
UgzJHGHafTKuB2eFCuh4AaABAg,aPar3BMd45Q,@jiafeistore,Disable high contrast to get the normal Apple Music,2025-07-20T13:59:31Z,0
Ugw7i5P2vOTUuaOQnKd4AaABAg,aPar3BMd45Q,@lvukecc99,I like how apple app looks like but I choose Spotify because of spotify wrapped,2025-07-13T10:05:24Z,0
Ugxc5pL6SxjiPbCc_Md4AaABAg,aPar3BMd45Q,@DJ_Jake...R35,My favorite song in 2017,2025-11-19T14:07:00Z,0
UgyMVn3MUEbBwhj6OoV4AaABAg,aPar3BMd45Q,@Javilex27,"Canvas: Spotify 
Lyrics screen: Apple Music 
❤❤❤❤",2025-07-13T20:48:38Z,1
UgwJfqZy3HnB2ftQfYV4AaABAg,-98LKRfnrnU,@salazarxslytherin5600,Yuotube music premium is only 99/m,2024-01-14T06:08:18Z,152
UgxwNKSL9-y-u4jKJDd4AaABAg,-98LKRfnrnU,@saurabhsharma-rz1fo,Wynk music 😂,2024-01-14T06:14:01Z,56
UgzpzW09xebAWItIbyp4AaABAg,-98LKRfnrnU,@njkgaming3997,I use apple music with students discount plus use Addblocker features of samsung to watch YT video without ads and shutting offscreen.,2025-05-24T20:57:32Z,15
Ugx1IEQpm-prjlcAUj14AaABAg,-98LKRfnrnU,@ModiSarkar69,Samsung users can play yt in background without premium 💀🙏🏼,2025-10-14T14:13:29Z,19
Ugz5O1EiUrM6oCJsXu94AaABAg,-98LKRfnrnU,@rushabhbannore808,revanced is the king,2024-01-14T05:53:29Z,9
Ugxhz9upUNNcq-KF7d94AaABAg,-98LKRfnrnU,@AdityaSingh-y8x5c,YouTube premium use krta hu best h,2024-01-14T06:17:18Z,6
UgxVT0Ha-cetuYsCPPB4AaABAg,-98LKRfnrnU,@Aun0786,Jio savan,2024-01-14T06:20:27Z,13
UgwrSPjmrLYyvPdXWKZ4AaABAg,-98LKRfnrnU,@abhishekchaudhary4058,YT premium is best no doubt. But some Android phones have a glitch in YT music app. Mere phone me apne aap pause ho jata hai player. It's disgusting as I travel in BLUE LINE METRO,2024-01-14T05:38:21Z,27
UgwQE2Gx04scfBrXAK54AaABAg,-98LKRfnrnU,@sheikmohamed_786,Youtube music suggestions is world class and remember forgetting memorable songs it's absolutely hit different level of experience,2026-02-15T16:45:05Z,0
UgwduRtCYhSilyX-CsJ4AaABAg,-98LKRfnrnU,@mayurgadhavi1113,ViMusic Rocks 😉,2024-01-14T06:12:06Z,23
Ugx7GnY4f-O2tNL5qT94AaABAg,-98LKRfnrnU,@meaningbread15,jo kaam youtube premium se karne ki baat hori hai woh toh koi bhi browser with adblock like brave kar sakti hai,2026-05-05T18:37:33Z,0
UgwEmPw2EhDUMypA-ap4AaABAg,-98LKRfnrnU,@BeingUnorthodox,"After reading comments I am so satisfied, otherwise just don’t know why I was meeting with peoples who have craze for Spotify",2025-02-11T13:39:14Z,2
Ugw6qEqlYUIxggIxNZJ4AaABAg,-98LKRfnrnU,@imisshersmyt,Bro setup dekhao please,2024-01-14T05:27:36Z,1
UgzjfFf5PhdLKzcBbfl4AaABAg,-98LKRfnrnU,@AVJ742,"Bro, apple tv also comes with the sub",2025-01-20T09:55:33Z,2
Ugxt8UlD3zoYAw8mZ3d4AaABAg,-98LKRfnrnU,@aman04official,Bollywood ke songs hogh quality me kaha upload hote hai ?,2026-01-09T20:28:31Z,0
UgytKubobnMDyyntMyB4AaABAg,-98LKRfnrnU,@2609ASHU,Wynk,2024-01-14T06:09:06Z,1
Ugxt__9yIoRd3mv16kh4AaABAg,-98LKRfnrnU,@h.b.l.aentertainment9560,"Ok i see your point 
But apple also provide ad free music with premium 
Also apple tv,apple arcade and icloud storage!",2025-07-30T12:26:45Z,0
UgxPieqgCIM5INYMrl54AaABAg,-98LKRfnrnU,@surajmathur3005,apple music m gaane nhi milte bhai,2025-07-10T11:14:19Z,0
Ugw2EkdCVDVgG5OESE54AaABAg,-98LKRfnrnU,@HarshaNandanKandimalla,APK ZINDABAD YES INDEED ALL WE NEED IS A GOOD SITE WITH TRUST AND SOME ANTIVIRUS 😂,2025-03-18T13:29:04Z,3
UgxmCWK53t1IeNj8UzN4AaABAg,-98LKRfnrnU,@bestfacts7105,Resso,2024-01-14T04:05:13Z,4
UgxIvop4B2rI57_38sx4AaABAg,-98LKRfnrnU,@MixtapeMessiah92,Why was only half the video in English? I'm so confused right now,2025-09-09T17:41:50Z,0
UgzuBuRKdDce1bGCJd94AaABAg,-98LKRfnrnU,@GyankoshhCareer,"Brave browser pr yt chalao
No ads
And phone off krke bhi chalega",2025-06-27T08:04:03Z,1
UgwbmqpERnzTSMu8qgV4AaABAg,-98LKRfnrnU,@rickysharma,YouTube premium is now ₹195/m,2025-01-02T16:55:33Z,12
UgxQnfR0h0ZQChEZn0R4AaABAg,-98LKRfnrnU,@Musicizmagic983,Jio savan fire h boss 🔥🔥,2025-05-04T06:12:35Z,2
UgyEdeGUETkd-gIa1Np4AaABAg,-98LKRfnrnU,@aryansokriwal4209,Now apple music is ₹119 now 😢,2026-03-02T18:42:23Z,0
Ugy3UotN5_JGxbQ2r_l4AaABAg,-98LKRfnrnU,@anvz8340,Wynk music 🔥,2024-01-14T06:06:17Z,3
Ugw3mXCiNnglwI3PTDp4AaABAg,-98LKRfnrnU,@shirag.rkarun9578,Spotify pe student discount avilable,2025-11-01T16:59:20Z,0
UgyIUkZfS-83E9aLqdp4AaABAg,-98LKRfnrnU,@QuantumResidue,I use apple music student plan only for 59rs with also includes Apple tv+ with,2026-02-23T05:55:22Z,0
UgwyoESRdVrRjHT3wu94AaABAg,-98LKRfnrnU,@gauravgauniyal5870,No it's not worth cos YouTube blocks lots of F words 😵 n lol mostly amarican rap music is all FFFF.... And it annoying when u feel youtube make words silent 🔕,2025-04-29T02:59:28Z,1
UgwErbrcVndg8WBLRMV4AaABAg,-98LKRfnrnU,@dineshvasamshetty8031,Amazing music,2025-01-02T20:53:57Z,0
Ugz8FucGnhIX82St4ZB4AaABAg,-98LKRfnrnU,@Gautam.Govindan7,59 rs with student offer abhi pg k 3sem remain hai Abhi plan 6 yrs continue rahega I’m get rid of Apple Music bcoz of its bag recommendation,2025-03-24T12:30:39Z,1
UgxoyhwbEb9epH4a6VF4AaABAg,-98LKRfnrnU,@aakaak2411,"1:- Apple Music 
2:- spotify 
3:- YouTube music (considering u r using music app only)",2025-06-06T10:04:04Z,0
UgxpKA0OiSAYoN8mpgp4AaABAg,-98LKRfnrnU,@akashpal7788,Quality wise Spotify premium is great,2025-12-28T08:54:18Z,0
Ugxbjviivix6ICitMtJ4AaABAg,-98LKRfnrnU,@athang95,Samsung internet laughing in corner😂😂😅😂😂,2024-12-21T21:29:35Z,0
UgzkSw36Z-i5cdWEorZ4AaABAg,-98LKRfnrnU,@vanshbhardwaj8357,Any free streaming app without too much ads?,2024-01-13T18:15:25Z,3
Ugz_mxt9EnjN8g5UyiZ4AaABAg,-98LKRfnrnU,@insaneshortz6796,Apple music ke lie dolby atmos supported headphones chahiye nahi to normal earphone me to sherya ghoshal ke gane bhi ranu mandal ke lage ge 😂😂😂,2025-06-12T19:19:24Z,0
UgzAzTLoFg4LiC_VaIl4AaABAg,-98LKRfnrnU,@SAKSHAMAGARWAL-ng2kd,"YT is worth it one fr 
I took a fam plan for all my five members of family and one for TV's and idts there is any issue",2024-12-29T05:57:34Z,0
UgztX85ueCN7UJ7Nt6h4AaABAg,-98LKRfnrnU,@juniorji6029,"gaana, Saavn, wynk, hungama ye sab chahiye",2025-09-11T05:43:01Z,0
UgxyKhPqZrVne2Z26HB4AaABAg,-98LKRfnrnU,@FryingPanday,But interface Spotify ka besttt,2024-07-16T12:36:08Z,4
UgypvF3OYimpwWl3DN54AaABAg,-98LKRfnrnU,@pragatibicycle8402,Audio cd best audio cd gives us 1411kbps and new audio cd 4608kbps lossless audio,2025-09-14T20:02:59Z,0
UgwNUDcGLyUaqIhbHIR4AaABAg,-98LKRfnrnU,@iqbaltarafder4416,Youtube in brave 🗿,2026-02-18T03:52:53Z,0
Ugz02wbeAYn6WPh8BeN4AaABAg,-98LKRfnrnU,@Balboaa0007,Come on man yt music is sh*t. Even you know that. Too much clutter. And I don’t like comments under my songs. Lyrics are bad. They tried but they aren’t close to what apple music and spotify are,2024-12-20T18:08:47Z,5
Ugy8xjV7KQNn6lQvPBp4AaABAg,-98LKRfnrnU,@IITianGrit,Using both 😂,2025-12-25T13:05:36Z,0
UgxKpw0zcuX2OEIfKZh4AaABAg,-98LKRfnrnU,@Siddheshutekar1,YouTube revanced😂,2024-12-16T17:23:28Z,1
UgwqF4l9laCmKxnWjK54AaABAg,-98LKRfnrnU,@amanalytics_pro,I have all 3 subscription 😅,2025-04-07T10:26:42Z,0
UgxEOpf34Gw4zPU2oyh4AaABAg,-98LKRfnrnU,@DonaldGibbs-h5p,YouTube premium is outrageous$$$$,2026-01-20T21:00:42Z,0
UgzHWUJCl66z9ssIjIl4AaABAg,-98LKRfnrnU,@MrinaalGupta02,Spotify apk is done it doesn't work,2024-12-12T12:50:00Z,2
UgxU2JseWmSQtXtVs1d4AaABAg,-98LKRfnrnU,@krishnabhosale4600,Apple music ka mod dedo koi,2025-10-19T19:03:46Z,1
UgzO3YiKY8IGmDCx_W94AaABAg,-98LKRfnrnU,@sahilagarwal6601,Spotify 3 month 60 mei dere 😂,2025-06-05T17:08:35Z,0
UgxpD9O2le3jsyWzIZF4AaABAg,-98LKRfnrnU,@prt-fx,"Yt premium is best,, ui best recommendations best",2025-03-23T06:40:24Z,0
UgzJipiLLuFHjua-CKN4AaABAg,r-EBS023zDk,@mrcl11w31,"If apple music had a good PC version, I'd definitely use it, because the mobile version of apple music is literally perfection",2025-02-18T17:10:39Z,3824
Ugzf_aj4mYHN_mhs09B4AaABAg,r-EBS023zDk,@DeepakKhansali26,"i want 
UI - Apple
UX - SPOTIFY 
ALGORITHM - YT MUSIC 
could somebody or some corporate make this happen 
It would be just perfect",2025-08-14T05:30:42Z,974
